# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#  casrn  - CASRN
#  srsname  - SRSName
#  parameter_units  - Parameter Unit
#
#
# Date Retrieved: 2017-06-14 13:33:26 EDT
#
parameter_cd	parameter_group_nm	parameter_nm	casrn	srsname	parameter_units
5s	30s	170s	170s	170s	16s
00001	Information	Location in cross section, distance from right bank looking upstream, feet			ft
00002	Information	Location in cross section, distance from right bank looking upstream, percent			%
00003	Information	Sampling depth, feet			ft
00005	Information	Location in cross section, fraction of total depth, percent			%
00008	Information	Sample accounting number			nu
00009	Information	Location in cross section, distance from left bank looking downstream, feet			ft
00022	Information	Duration of exposure, sample or test, days			days
00023	Information	Sample weight, pounds			lb
00024	Information	Sample length, inches			in
00028	Information	Agency analyzing sample, code			code
00029	Information	Project number			nu
00041	Information	Weather, World Meteorological Organization code			WMO code
00042	Information	Altitude, feet above mean sea level		Altitude	ft abv MSL
00054	Information	Reservoir storage, acre feet		Reservoir storage	ac-ft
00063	Information	Number of sampling points, count			count
00098	Information	Sampling depth, meters			m
00100	Information	Time of travel, hours			hours
00115	Information	Sample treatment, code			code
00132	Information	Dry days before precipitation event, days		Dry period preceding precipitation	days
00134	Information	Storm event serial number			nu
00135	Information	Elapsed time of storm, hours			hours
00206	Information	Collector area, wet deposition, square meters			m2
00207	Information	Collector area, dry deposition, square meters			m2
04117	Information	Tether line used for collecting sample (yes=1), code			code
04118	Information	Composited samples in cross-sectional bedload measurement, number			nu
04119	Information	Verticals in composite sample, number			nu
04120	Information	Rest time on bed for bed load sample, seconds			seconds
04121	Information	Horizontal width of vertical, feet			ft
30215	Information	Signal, sediment, Markland meter, count			count
30216	Information	Voltage, hazard trip switch, volts			volts
30333	Information	Bag mesh size, bedload sampler, millimeters			mm
32000	Information	Sample volume, liters			l
32001	Information	Sample volume, gallons			gal
32002	Information	Sample volume, milliliters			ml
32325	Information	Dark measurement spectral average, water, in situ, ultraviolet nitrate analyzer, raw counts			count
32326	Information	Light measurement spectral average, water, in situ, ultraviolet nitrate analyzer, raw counts			count
45584	Information	Gate opening, width, meters			m
45585	Information	Gate opening, width, feet			ft
45586	Information	Lockage, count of lock openings, units			units
